ID,FirstName,LastName,Email,Phone,DateOfBirth,Department,Salary,Status,Notes,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31,Column_32,Column_33,Column_34,Column_35,Column_36,Column_37,Column_38,Column_39,Column_40,Column_41,Column_42,Column_43,Column_44,Column_45,Column_46,Column_47,Column_48,Column_49,Column_50
1,Hannah,Miller,hannah.miller@example.com,555-5076,1990-05-15,Sales,61237,,Needs review,835,,,Data_1_14,843,Data_1_16,,,,,,,568,error,,error,Data_1_27,319,823,440,, ,511,,Data_1_35,944,404,,Data_1_39,Data_1_40,,776,NULL,693,,749,450,139,879,
2,Alice,Williams,alice.williams@example.com,555-9703,1990-05-15,Marketing,60510,Pending,On leave,80,537,625,,Data_2_15,,,,Data_2_19,85,NULL,557,Data_2_23,Data_2_24,436,610,Data_2_27,NULL,,,900,,Data_2_33,,690,,Data_2_37, ,error,,222,404,169,NULL,432,570,Data_2_47,#N/A,,367
3,Fiona,Brown,fiona.brown@example.com,555-8004,05/15/1990,Finance,94909,,,NULL,Data_3_12,914,550,,503,591,176,Data_3_19,Data_3_20,,315,660,Data_3_24,,,946,138,,195,Data_3_31,4,1,,Data_3_35,246,error,727,712, ,Data_3_41,,,,,NULL,NULL,Data_3_48,,Data_3_50
4,Fiona,Jones,fiona.jones@example.com,,,Finance,61580,Pending,,768,#N/A,414,Data_4_14,,,, ,429,NULL,305,,Data_4_23,,Data_4_25,#N/A,,Data_4_28,,Data_4_30,,,217,,Data_4_35,,,Data_4_38,,Data_4_40,Data_4_41,Data_4_42,Data_4_43,Data_4_44,Data_4_45,Data_4_46,Data_4_47,NULL,error,413
5,Charlie,Garcia,charlie.garcia@example.com,555-9457,1990-05-15,Engineering,100375,,"Promoted, highly skilled",797,,40, ,Data_5_15,419,#N/A,,Data_5_19,909, , ,150,Data_5_24,,211,,352,Data_5_29,,625,,,Data_5_34,Data_5_35,Data_5_36,221,185,#N/A,Data_5_40,,#N/A,Data_5_43,,Data_5_45,Data_5_46,625,957,,
6,Charlie,Brown,,,1990-05-15,Finance,,,Needs review,,,,,,304,NULL,858,319,,,, ,64,,,165,,Data_6_29,#N/A,,Data_6_32,Data_6_33,,,Data_6_36,Data_6_37,776,144,Data_6_40,Data_6_41,500,#N/A,216,354,,5,,221,Data_6_50
7,Alice,Miller,alice.miller@example.com,555-7374,05/15/1990,Engineering,TBD,Active,Good worker,426,60,Data_7_13,641, ,,,Data_7_18,,Data_7_20,,211,Data_7_23,846,437,Data_7_26,,Data_7_28,, ,249,792,NULL,Data_7_34,,,Data_7_37,891,error,Data_7_40,977,Data_7_42,NULL,error,NULL,,,236,Data_7_49,NULL
8,Hannah,Davis,hannah.davis@example.com,555-8840,05/15/1990,Engineering,55048,Active,,73,Data_8_12,Data_8_13,Data_8_14,Data_8_15,Data_8_16,error,,,,658,,Data_8_23,Data_8_24,Data_8_25,101, ,,811,353,989,,69,,,,Data_8_37,322, ,,130,512,19,,5,878,624,285,,NULL
9,Alice,Garcia,,,,Finance,54493,Pending,,,,936,Data_9_14,Data_9_15,,284,,14,,,262,,,Data_9_25,Data_9_26,,Data_9_28,,,721,73,,Data_9_34,#N/A,Data_9_36,919,976,Data_9_39,673,105,,773, ,error,451,Data_9_47,,#N/A,256
10,George,Smith,,555-8496,05/15/1990,IT,112746,Pending,,,Data_10_12,error,Data_10_14,,,NULL,507,705,Data_10_20,962,823, ,555,,,Data_10_27,NULL, ,388,,,Data_10_33,,606,Data_10_36, ,error,,915,NULL,,,,,372,Data_10_47,,,Data_10_50
