ID,FirstName,LastName,Email,Phone,DateOfBirth,Department,Salary,Status,Notes,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20
1,Alice,,alice.johnson@example.com,555-2632,May 15th 90,IT,$57136,,Good worker,,696,Data_1_13,135,203,,337,Data_1_18,,
2,Diana,Brown,,,05/15/1990,Engineering,110385,Inactive,Good worker,905,,Data_2_13, , ,Data_2_16,,363,,704
3,Charlie,Williams,,555-3906,05/15/1990,Sales,112221,Active,,420,,,918,,error,145,Data_3_18,,Data_3_20
4,Bob,Miller,bob.miller@example.com,555-9269,05/15/1990,HR,101170,Inactive,,,,776,Data_4_14,987,Data_4_16,Data_4_17,Data_4_18,286,357
5,Charlie,Smith,charlie.smith@example.com,555-3192,,Engineering,69162,Inactive,,,,,,738,Data_5_16,,,NULL,Data_5_20
6,Charlie,Williams,charlie.williamsexample.com,555-7862,1990-05-15,HR,78333,Inactive,,,NULL,,,392,735,562,NULL, ,88
7,George,Johnson,george.johnson@example.com,555-8068,05/15/1990,IT,80870,Active,,NULL,Data_7_12,Data_7_13,690,746,,Data_7_17,,Data_7_19,
8,Alice,Davis,alice.davis@example.com,555-3881,1990-05-15,Engineering,,,,Data_8_11,,,#N/A,,,Data_8_17,,error,Data_8_20
9,Bob,Brown,bob.brown@example.com,555-3386,1990-05-15,,118683,,,error,,,179,NULL,775,Data_9_17,Data_9_18,Data_9_19,
10,Evan,Johnson,evan.johnson@example.com,555-1324,1990-05-15,HR,$68293,,Good worker,200,320,143,error,,,,,Data_10_19,316
11,Fiona,Miller,fiona.miller@example.com,555-1693,1990-05-15,IT,,Inactive,Needs review,904,NULL,261,error,Data_11_15,611,NULL,81,Data_11_19,Data_11_20
12,George,Williams,george.williams@example.com,555-9594,,IT,77446,Active,,480,,991,,321,,263,810,Data_12_19,364
13,Diana,Jones,diana.jones@example.com,555-2234,,Sales,59089,,,,Data_13_12,Data_13_13,,,864,,,Data_13_19,Data_13_20
14,Hannah,Miller,hannah.miller@example.com,555-7652,1990-05-15,Sales,108781,Pending,,930,,,478,930,87,458,Data_14_18,803,
15,Charlie,Williams,charlie.williamsexample.com,555-1007,05/15/1990,Finance,98340,Active,,632,Data_15_12,,,,737,Data_15_17,241,error,NULL
16,Evan,Smith,evan.smithexample.com,555-6063,05/15/1990,Finance,50387,,,,Data_16_12,150,11,,339,,NULL,NULL,NULL
17,,Jones,hannah.jonesexample.com,555-3573,,Sales,99093,,,,error,882,295,Data_17_15,Data_17_16,Data_17_17,622,951,
18,Charlie,Garcia,charlie.garcia@example.com,555-6131,1990-05-15,HR,,Active,,,,,NULL,,,Data_18_17,NULL,,
19,Evan,Smith,evan.smith@example.com,555-5357,1990-05-15,HR,98801,Inactive,Needs review,,580,,,682,Data_19_16,611,Data_19_18,Data_19_19,809
20,Bob,,bob.davis@example.com,555-1747,1990-05-15,Engineering,107791,,, ,191,368,Data_20_14,error,#N/A,,Data_20_18,Data_20_19,Data_20_20
21,  Alice  ,Brown,alice.brown@example.com,555-9588,May 15th 90,,TBD,,,990,Data_21_12,86,Data_21_14,456,140,Data_21_17,571,252,
22,Charlie,Garcia,charlie.garcia@example.com,,05/15/1990,Marketing,$108360,,On leave,,256,,,error,,Data_22_17,459,Data_22_19,Data_22_20
23,George,Williams,george.williams@example.com,555-7229,05/15/1990,,80161,Active,"Promoted, highly skilled",,447,484,Data_23_14,501,Data_23_16,Data_23_17,366,253,777
